Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
sunday,31-50,male,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,crossing,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
sunday,31-50,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,unknown,no defect,Public/Institutional,double carriageway (median),Straight Road,crossing,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
monday,unknown,male,Higher Education,owner,Intermediate,Private Vehicle,owner,unknown,no defect,Public/Institutional,double carriageway (median),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,2,Not Involved,Negligence,slight injury
monday,18-30,male,Basic Education,employee,Intermediate,Private Vehicle,owner,2-5yrs,no defect,Public/Institutional,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Rollover/Fall,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Lane Violation,slight injury
tuesday,18-30,male,Basic Education,employee,Experienced,Public Transport,owner,unknown,no defect,Urban/Residential,one way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Moving Forward,3,Not Involved,Negligence,slight injury
tuesday,unknown,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Other,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Moving Forward,na,Not Involved,Priority Violation,slight injury
tuesday,over 51,male,Basic Education,employee,Intermediate,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
thursday,31-50,male,Higher Education,employee,Veteran,Public Transport,owner,5-10yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,unknown,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
thursday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,above 10yr,no defect,Public/Institutional,undivided two way,Straight Road,unknown,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Other,3,Not Involved,Negligence,slight injury
thursday,unknown,female,Basic Education,employee,Veteran,Private Vehicle,owner,5-10yrs,no defect,Other,double carriageway (median),Straight Road,unknown,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
saturday,unknown,male,Low Education,employee,Intermediate,Private Vehicle,owner,2-5yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Priority Violation,slight injury
saturday,18-30,male,Basic Education,employee,Intermediate,Heavy Vehicle,owner,2-5yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,gravel roads,dry,daylight,Clear,Object Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
monday,18-30,male,Higher Education,employee,Intermediate,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
monday,31-50,male,Basic Education,employee,New Driver,Public Transport,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Vehicle Loss of Control,slight injury
tuesday,18-30,male,Higher Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
tuesday,unknown,female,Basic Education,employee,Intermediate,Private Vehicle,organization,above 10yr,no defect,Rural,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Substance Abuse,slight injury
friday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Other,other,Straight Road,no junction,earth roads,dry,daylight,Clear,Object Collision,1,1,Other,3,Other,Negligence,slight injury
saturday,31-50,male,Basic Education,employee,New Driver,Private Vehicle,owner,above 10yr,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,3,Moving Forward,3,Not Involved,Priority Violation,slight injury
saturday,31-50,male,Higher Education,employee,Unlicensed/Unknown,Two Wheeler,owner,above 10yr,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,3,Moving Forward,na,Not Involved,Lane Violation,slight injury
saturday,31-50,male,Basic Education,owner,Experienced,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,double carriageway (median),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,3,Other,3,Not Involved,Lane Violation,slight injury
saturday,unknown,male,Basic Education,employee,New Driver,Private Vehicle,owner,2-5yrs,no defect,Public/Institutional,one way,Straight Road,y shape,gravel roads,dry,daylight,Clear,Vehicle Collision,2,3,Moving Forward,na,Not Involved,Negligence,slight injury
thursday,31-50,male,Basic Education,employee,Intermediate,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,3,Moving Forward,na,Not Involved,Negligence,slight injury
thursday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,2-5yrs,no defect,Other,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Human Collision,2,3,Moving Forward,3,Not Involved,Lane Violation,slight injury
thursday,18-30,male,Basic Education,employee,Experienced,Public Transport,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,3,Moving Forward,3,Not Involved,Lane Violation,slight injury
friday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,other,Straight Road,no junction,earth roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
friday,unknown,male,Basic Education,employee,Intermediate,Private Vehicle,owner,unknown,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Object Collision,2,1,Reversing,3,Not Involved,Speed Violation,slight injury
saturday,18-30,male,Basic Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Reversing,3,Not Involved,Lane Violation,slight injury
saturday,18-30,male,Basic Education,owner,Veteran,Other,owner,unknown,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
saturday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,governmental,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Human Collision,2,3,Moving Forward,na,Not Involved,Negligence,severe injury
saturday,31-50,male,Basic Education,owner,Veteran,Heavy Vehicle,governmental,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,3,Moving Forward,3,Not Involved,Lane Violation,severe injury
saturday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,other,Straight Road,no junction,earth roads,dry,daylight,Clear,Vehicle Collision,2,3,Moving Forward,3,Not Involved,Lane Violation,severe injury
friday,unknown,male,Basic Education,owner,Experienced,Other,owner,unknown,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Human Collision,3,2,Moving Forward,3,Not Involved,Negligence,slight injury
friday,unknown,male,Basic Education,owner,Veteran,Public Transport,governmental,unknown,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Human Collision,3,2,Moving Forward,3,Not Involved,Lane Violation,slight injury
friday,18-30,male,Higher Education,owner,Veteran,Private Vehicle,owner,unknown,no defect,Urban/Residential,double carriageway (median),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Human Collision,3,2,Moving Forward,na,Not Involved,Negligence,slight injury
friday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,above 10yr,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Object Collision,3,2,Moving Forward,3,Not Involved,Negligence,slight injury
saturday,18-30,male,Basic Education,employee,Experienced,Public Transport,owner,unknown,no defect,Urban/Residential,double carriageway (median),Straight Road,t shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Reversing,2,Not Involved,Lane Violation,slight injury
saturday,31-50,male,Basic Education,owner,Veteran,Heavy Vehicle,owner,above 10yr,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,t shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Vehicle Loss of Control,slight injury
friday,18-30,male,Basic Education,owner,New Driver,Heavy Vehicle,owner,1-2yr,no defect,Other,double carriageway (median),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
friday,18-30,male,Basic Education,owner,Intermediate,Heavy Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Other,na,Not Involved,Negligence,slight injury
sunday,31-50,male,Basic Education,owner,Intermediate,Two Wheeler,owner,2-5yrs,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,3,Moving Forward,na,Not Involved,Negligence,slight injury
sunday,over 51,male,Higher Education,owner,Experienced,Heavy Vehicle,owner,unknown,no defect,Other,other,Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,3,Vehicle Exit/Loss of Control,na,Not Involved,Vehicle Loss of Control,slight injury
sunday,over 51,male,Basic Education,owner,Experienced,Private Vehicle,owner,unknown,no defect,Public/Institutional,undivided two way,Straight Road,crossing,asphalt roads,dry,daylight,Clear,Human Collision,2,3,Moving Forward,3,Not Involved,Negligence,slight injury
friday,31-50,male,Basic Education,owner,New Driver,Private Vehicle,owner,unknown,no defect,Other,undivided two way,Straight Road,other,earth roads,dry,daylight,Clear,Object Collision,2,1,Moving Forward,3,Crossing,Lane Violation,slight injury
friday,over 51,male,Basic Education,owner,Veteran,Other,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,other,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Speed Violation,slight injury
monday,18-30,male,Basic Education,owner,New Driver,Other,owner,2-5yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
monday,under 18,male,Basic Education,owner,Experienced,Private Vehicle,owner,unknown,no defect,Urban/Residential,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
monday,18-30,male,Basic Education,owner,Experienced,Private Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
tuesday,18-30,male,Basic Education,owner,Experienced,Heavy Vehicle,owner,above 10yr,no defect,Commercial/Workplace,undivided two way,Straight Road,other,other,dry,daylight,Clear,Other,2,1,Moving Forward,3,Not Involved,Negligence,severe injury
tuesday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,other,gravel roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Priority Violation,severe injury
wednesday,18-30,male,Higher Education,owner,Experienced,Heavy Vehicle,organization,unknown,no defect,Leisure/Public Space,two-way (divided with broken lines road marking),Straight Road,no junction,gravel roads,dry,daylight,Clear,Vehicle Collision,1,1,Vehicle Exit/Loss of Control,na,Not Involved,Negligence,slight injury
monday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,1-2yr,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,3,2,Vehicle Exit/Loss of Control,3,Not Involved,Lane Violation,slight injury
monday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,above 10yr,no defect,Urban/Residential,undivided two way,Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,3,2,Vehicle Exit/Loss of Control,3,Not Involved,Negligence,slight injury
monday,unknown,male,Basic Education,employee,Experienced,Private Vehicle,owner,5-10yrs,no defect,Public/Institutional,undivided two way,Steep/Sloped Terrain,y shape,earth roads,dry,darkness - lights lit,Clear,Vehicle Collision,3,2,Reversing,na,Not Involved,Substance Abuse,slight injury
